cell_name,cell_type,1250,1562,1953,2441,3052,3815,4768,5960,7451,9312,11640,14550,18188,22735,28419,35523,44304,55400,69250,86562,108203,135254,168442,200000
ITL23__653804581_stage_1_seed_1_hof_0,ITL23,38.8125,49,58.9375,68.125,76.625,84.75,93.4375,100.9375,109.3125,117.6875,125.75,134,142.1875,150.25,158.625,166.875,175.1875,184.125,193.375,203.1875,214,225.375,239.0625,NaN
ITL23__653804581_stage_1_seed_2_hof_0,ITL23,12.9375,15.0625,17.125,19.3125,21.75,23.875,26.25,28.6875,31.125,33.75,36.625,39.4375,42.4375,45.5,49.1875,52.375,55.875,59.6875,63.625,67.75,72.0625,76.375,81.125,84.8125
ITL23__653854241_stage_1_seed_1_hof_0,ITL23,17.25,19.1875,21.125,22.9375,24.9375,27.375,29.4375,32,34.75,37.9375,41.625,45.3125,49.875,54.875,60.6875,67.125,74.25,83.375,93.25,106.1875,122.0625,139.375,NaN,NaN
ITL23__653854241_stage_1_seed_2_hof_0,ITL23,11.75,12.6875,13.8125,15,16.25,17.6875,19.25,20.75,22.625,24.625,27,29.625,32.6875,36.5625,41.1875,47.3125,56.5,73.0625,109.8125,157.8125,204.375,NaN,NaN,NaN
ITL23__654180841_stage_1_seed_1_hof_0,ITL23,11,11.875,12.75,13.625,14.6875,15.6875,16.8125,17.875,19.5,21.125,22.6875,24.6875,26.875,29.4375,31.75,34.5,37.0625,39.5625,42.6875,45.6875,48.625,52.1875,55.6875,58.4375
ITL23__654180841_stage_1_seed_2_hof_0,ITL23,72.875,80.8125,89.25,97.8125,106.4375,115.5625,125.125,135.3125,146.5625,158.0625,170.9375,184.8125,200.8125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__665713811_stage_1_seed_1_hof_0,ITL23,23.3125,25.25,28.125,31.3125,35.3125,39.4375,44.75,50.0625,56.5625,65.125,76.8125,92.8125,114,138.5625,162.1875,184.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__665713811_stage_1_seed_2_hof_0,ITL23,28.375,32,35.6875,40,43.625,47.875,52.0625,56.8125,61.5,66.875,72.5,78.875,85.75,92.125,99.75,107.625,116.125,124.625,133.875,144.3125,156.0625,171.8125,192.75,NaN
ITL23__677088033_stage_1_seed_1_hof_0,ITL23,49.5,56.8125,64.4375,72.375,80.5625,88.875,97.1875,106.125,115.6875,125.8125,136.5625,147.9375,160.375,174.8125,190.75,210.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__677088033_stage_1_seed_2_hof_0,ITL23,19.0625,20.375,21.9375,23.1875,24.8125,26,28.3125,30.1875,32.625,34.5,37.625,40.8125,44.5625,48.9375,53.875,59.3125,66.75,73.625,81.1875,90.875,100.6875,111.5,124.0625,135.3125
ITL23__685806309_stage_1_seed_1_hof_0,ITL23,21.125,23.625,26.125,28.625,31,33.375,35.8125,38.25,41.125,44.25,47.8125,51.4375,55.8125,60.5,65.625,71.1875,77.4375,83.5,90.0625,96.1875,103.25,110.4375,117.375,123.5625
ITL23__685806309_stage_1_seed_2_hof_0,ITL23,34.1875,37.5625,41.1875,44.6875,48.1875,52.0625,55.75,59.625,63.125,66.9375,70.6875,74.5625,78.375,81.9375,85.5625,89.3125,92.5625,96.0625,99.1875,102.4375,105.9375,109.375,113,116.125
ITL23__685814252_stage_1_seed_1_hof_0,ITL23,32.25,35.75,39.25,42.625,46.25,50,53.8125,57.8125,62.3125,66.9375,71.75,77.25,82.625,88.5625,94.5625,100.9375,107.5625,114.5625,122,129.5,137.9375,146.5,156.4375,165.1875
ITL23__685814252_stage_1_seed_2_hof_0,ITL23,32.25,35.0625,38.125,40.875,44,47.0625,50.4375,53.75,57.25,60.875,65,68.9375,72.875,77.1875,81.5,86.0625,90.375,95.0625,99.75,104.375,109.4375,114.75,120.1875,125.6875
ITL23__689300528_stage_1_seed_1_hof_0,ITL23,33.625,36.5,39.625,42.75,45.9375,49.375,53,56.5625,60.4375,64.5,68.4375,72.0625,74.75,76.0625,78.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__689300528_stage_1_seed_2_hof_0,ITL23,26.5,29.6875,33.25,36.3125,39.75,42.875,46.375,49.6875,53.3125,56.9375,60.6875,64.5,68.5,72.75,76.625,80.9375,84.8125,88.375,92.1875,96.25,100.5625,105,108.875,112.25
ITL23__689306818_stage_1_seed_1_hof_0,ITL23,19.1875,21.25,23.3125,25.4375,27.6875,30.125,32.6875,35.375,38.25,40.5625,43.8125,46.6875,49.6875,52.625,55.875,58.9375,62.25,65.5625,68.875,72.625,76.625,81.25,87.125,91.8125
ITL23__689306818_stage_1_seed_2_hof_0,ITL23,11.4375,12.125,13,13.875,14.9375,16.0625,17.3125,18.75,20.3125,22.3125,24.25,26.625,28.875,31.5,34.3125,37.5,40.75,43.9375,48.1875,53,58.875,66.5625,77.625,89.75
ITL23__689309060_stage_1_seed_1_hof_0,ITL23,26.5625,28.3125,29.9375,31.75,33.625,35.375,37.0625,39.0625,40.9375,42.9375,44.6875,46.5625,48.375,50.1875,51.75,53.4375,54.75,56.0625,57.3125,58.25,59.1875,60.125,61.125,62
ITL23__689309060_stage_1_seed_2_hof_0,ITL23,27.625,29.9375,32.375,34.875,37.6875,40.25,43.125,45.9375,49.1875,52.625,56,59.4375,63.0625,66.375,69.6875,73.75,77.4375,81.5,85.8125,90.875,96.75,103.75,112.625,121.0625
ITL23__689312221_stage_1_seed_1_hof_0,ITL23,28.0625,31.375,34.5,38.125,41.9375,45.5625,49,52.375,56.1875,60.0625,64,67.25,70.9375,71.8125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
