cell_name,cell_type,basal_max_fit_x,basal_max_fit_y,apical_max_fit_x,apical_max_fit_y
ITL23__541549258_stage_1_seed_2_hof_0,ITL23,19,0.725247493315464,34,0.793074826529116
ITL23__541557114_stage_1_seed_1_hof_0,ITL23,214,0.715314631773956,222,0.714480373266862
ITL23__541557114_stage_1_seed_2_hof_0,ITL23,134,0.580054581862356,209,0.58490298815888
ITL23__569835804_stage_1_seed_1_hof_0,ITL23,38,0.627665736863543,34,0.668397427811482
ITL23__569835804_stage_1_seed_2_hof_0,ITL23,39,0.59799343442142,35,0.627000284888883
ITL23__569860121_stage_1_seed_1_hof_0,ITL23,49,0.730160872738575,20,0.739375809971824
ITL23__569860121_stage_1_seed_2_hof_0,ITL23,74,0.690349134943843,65,0.716919577224601
ITL23__571732727_stage_1_seed_1_hof_0,ITL23,176,0.714617887947171,67,0.661288036631646
ITL23__571732727_stage_1_seed_2_hof_0,ITL23,116,0.665906803425965,156,0.677808850859809
ITL23__576110753_stage_1_seed_1_hof_0,ITL23,167,0.504916148132165,67,0.343404399303694
ITL23__576110753_stage_1_seed_2_hof_0,ITL23,105,0.656671898812478,164,0.662772337310547
ITL23__576118161_stage_1_seed_1_hof_0,ITL23,140,0.548077537989438,180,0.561296817273889
ITL23__576118161_stage_1_seed_2_hof_0,ITL23,145,0.530240836701201,185,0.543119166968237
ITL23__595572609_stage_1_seed_1_hof_0,ITL23,11,0.334238261352346,139,0.717878133856714
ITL23__595572609_stage_1_seed_2_hof_0,ITL23,135,0.700444477877751,194,0.70068881540827
ITL23__595583062_stage_1_seed_1_hof_0,ITL23,60,0.694359896854177,123,0.7128505781873
ITL23__595583062_stage_1_seed_2_hof_0,ITL23,57,0.661707121783745,115,0.665736605281414
ITL23__596898838_stage_1_seed_2_hof_0,ITL23,39,0.620552582451734,101,0.612652925105763
ITL23__602165685_stage_1_seed_1_hof_0,ITL23,64,0.593905940356964,222,0.699167872898368
ITL23__602165685_stage_1_seed_2_hof_0,ITL23,60,0.588463328079809,90,0.569327755992043
ITL23__653804581_stage_1_seed_1_hof_0,ITL23,95,0.654261865229353,89,0.636410725215034
ITL23__653804581_stage_1_seed_2_hof_0,ITL23,107,0.639163485072075,131,0.643283730092748
ITL23__653854241_stage_1_seed_1_hof_0,ITL23,46,0.638319324628744,100,0.669473676642272
ITL23__653854241_stage_1_seed_2_hof_0,ITL23,74,0.569683874720371,252,0.651689666781451
ITL23__654180841_stage_1_seed_1_hof_0,ITL23,135,0.709415783595278,37,0.198007251397524
ITL23__654180841_stage_1_seed_2_hof_0,ITL23,138,0.472465943152823,115,0.430870942599894
ITL23__665713811_stage_1_seed_1_hof_0,ITL23,223,0.551788132985079,229,0.559216065136168
ITL23__665713811_stage_1_seed_2_hof_0,ITL23,63,0.625450014043162,158,0.679966800011802
ITL23__677088033_stage_1_seed_1_hof_0,ITL23,111,0.485185499241824,155,0.511094351131863
ITL23__677088033_stage_1_seed_2_hof_0,ITL23,115,0.660518090260709,148,0.670360552852242
ITL23__685806309_stage_1_seed_1_hof_0,ITL23,108,0.674630993446573,180,0.686625745910779
ITL23__685806309_stage_1_seed_2_hof_0,ITL23,187,0.683658438548995,203,0.690554516313331
ITL23__685814252_stage_1_seed_1_hof_0,ITL23,136,0.62458042845137,154,0.642579165076744
ITL23__685814252_stage_1_seed_2_hof_0,ITL23,110,0.6286858870745,65,0.567194572611846
ITL23__689300528_stage_1_seed_1_hof_0,ITL23,58,0.526411607127643,87,0.517458958340638
ITL23__689300528_stage_1_seed_2_hof_0,ITL23,57,0.676934876552949,85,0.674215813184623
ITL23__689306818_stage_1_seed_1_hof_0,ITL23,111,0.698138358263153,185,0.706668701758924
ITL23__689306818_stage_1_seed_2_hof_0,ITL23,64,0.670199996026072,218,0.71039116335223
ITL23__689309060_stage_1_seed_1_hof_0,ITL23,153,0.720850256237743,184,0.72313525438728
ITL23__689309060_stage_1_seed_2_hof_0,ITL23,152,0.715149879470208,182,0.715177391956817
ITL23__689312221_stage_1_seed_1_hof_0,ITL23,78,0.511680514841749,114,0.502748284527316
ITL23__689312221_stage_1_seed_2_hof_0,ITL23,116,0.675682322746797,167,0.680605472470581
ITL23__689323433_stage_1_seed_1_hof_0,ITL23,145,0.656647880053391,130,0.65092537142634
ITL23__689323433_stage_1_seed_2_hof_0,ITL23,163,0.553879890868238,105,0.518502071459685
ITL23__689360253_stage_1_seed_1_hof_0,ITL23,201,0.654295014191523,211,0.66765428936658
ITL23__689360253_stage_1_seed_2_hof_0,ITL23,88,0.699992668285759,115,0.697878820379605
ITL23__695494556_stage_1_seed_1_hof_0,ITL23,154,0.650894332309804,164,0.642496292325017
ITL23__695494556_stage_1_seed_2_hof_0,ITL23,85,0.663230450559195,148,0.676584910061062
ITL23__695521538_stage_1_seed_1_hof_0,ITL23,90,0.71309457053675,140,0.704540074145341
ITL23__695521538_stage_1_seed_2_hof_0,ITL23,113,0.687789645706055,157,0.683988913690562
ITL23__695546566_stage_1_seed_1_hof_0,ITL23,153,0.676327273264272,37,0.25110633013766
ITL23__695546566_stage_1_seed_2_hof_0,ITL23,124,0.383846050848788,35,0.134111689971372
ITL23__695557339_stage_1_seed_1_hof_0,ITL23,86,0.625463566946031,110,0.623143526659202
ITL23__695557339_stage_1_seed_2_hof_0,ITL23,177,0.608003446961273,225,0.655699265308663
ITL23__707828926_stage_1_seed_1_hof_0,ITL23,86,0.672924309127896,135,0.68031160738833
ITL23__707828926_stage_1_seed_2_hof_0,ITL23,86,0.668783301534732,143,0.681600853719381
ITL23__716918890_stage_1_seed_1_hof_0,ITL23,176,0.682147919778012,12,0.420707950334861
ITL23__716929071_stage_1_seed_2_hof_0,ITL23,122,0.624945087727093,62,0.537864975683434
ITL23__720828444_stage_1_seed_2_hof_0,ITL23,34,0.572163061104586,129,0.645470937056339
ITL23__720850977_stage_1_seed_1_hof_0,ITL23,81,0.620813050683097,155,0.624420831346057
ITL23__720850977_stage_1_seed_2_hof_0,ITL23,43,0.439962098920148,89,0.447216766836916
ITL23__720862326_stage_1_seed_1_hof_0,ITL23,163,0.544695528419336,32,0.205559011210536
ITL23__720862326_stage_1_seed_2_hof_0,ITL23,117,0.690536376258302,29,0.195577971786895
ITL23__720871158_stage_1_seed_1_hof_0,ITL23,90,0.641692503294096,111,0.652746603494749
ITL23__720871158_stage_1_seed_2_hof_0,ITL23,131,0.689666940645761,149,0.688677050140213
ITL23__720878801_stage_1_seed_1_hof_0,ITL23,84,0.734138994053798,99,0.737690065279518
ITL23__720878801_stage_1_seed_2_hof_0,ITL23,81,0.714360766317027,97,0.711707546243484
ITL23__737089555_stage_1_seed_1_hof_0,ITL23,66,0.39028122125663,101,0.402288087648592
ITL23__737089555_stage_1_seed_2_hof_0,ITL23,113,0.48226206483299,35,0.227220389090436
ITL23__737134157_stage_1_seed_1_hof_0,ITL23,202,0.638639248912671,202,0.639173157421785
ITL23__737134157_stage_1_seed_2_hof_0,ITL23,208,0.696562761397914,240,0.686616266388147
ITL23__737158657_stage_1_seed_1_hof_0,ITL23,93,0.693065583820516,11,0.401258886153717
ITL23__737158657_stage_1_seed_2_hof_0,ITL23,134,0.418926843685258,224,0.440098385632034
ITL23__737424303_stage_1_seed_1_hof_0,ITL23,154,0.682628352382139,38,1.86622684125434
ITL23__737424303_stage_1_seed_2_hof_0,ITL23,169,0.707295341989379,38,1.95197770351068
ITL23__737820466_stage_1_seed_1_hof_0,ITL23,61,0.710113869451855,82,0.702916843374891
ITL23__737820466_stage_1_seed_2_hof_0,ITL23,55,0.705224228994514,11,0.665639650098792
ITL23__737988336_stage_1_seed_1_hof_0,ITL23,244,0.701964755582838,254,0.698427736269688
ITL23__737988336_stage_1_seed_2_hof_0,ITL23,65,0.663435659674618,83,0.661120592278512
ITL23__758285403_stage_1_seed_1_hof_0,ITL23,85,0.586097275816902,183,0.640654376884824
ITL23__758285403_stage_1_seed_2_hof_0,ITL23,80,0.485414175796285,194,0.501754738574058
ITL23__758286194_stage_1_seed_1_hof_0,ITL23,116,0.622692352905349,130,0.633929237161152
ITL23__758311336_stage_1_seed_1_hof_0,ITL23,160,0.636768118196784,64,0.638089569957256
